KIND:nbs
UNITS:cms
INTERVAL:mn
LOCATION:mi
# file created: 2018-05-24 01:09:56
#YYYY-MM,   VAL
1999-01, -999.9
1999-02, -999.9
1999-03,   17.0
1999-04,  -54.0
1999-05,  -28.0
1999-06,  -70.0
1999-07,   93.0
1999-08,   46.0
1999-09,   12.0
1999-10,  -14.0
1999-11,   57.0
1999-12,   58.0
2000-01,  -58.0
2000-02,   25.0
2000-03,  -51.0
2000-04,   38.0
2000-05,  -79.0
2000-06,   50.0
2000-07,  -76.0
2000-08,   71.0
2000-09,  -87.0
2000-10,  -22.0
2000-11,   19.0
2000-12,   59.0
2001-01,  -71.0
2001-02,    0.0
2001-03,  -94.0
2001-04,  -83.0
2001-05,   17.0
2001-06,   35.0
2001-07,   95.0
2001-08,   37.0
2001-09,  -97.0
2001-10,  -91.0
2001-11,   20.0
2001-12,  -55.0
2002-01,   89.0
2002-02,  -11.0
2002-03,  -96.0
2002-04,  -36.0
2002-05,  -26.0
2002-06,  -17.0
2002-07,   95.0
2002-08,  -80.0
2002-09,   28.0
2002-10,   94.0
2002-11,  -18.0
2002-12, -999.9
