KIND:prc
UNITS:mm
INTERVAL:qm
LOCATION:er
# file created: 2018-05-22 22:54:46
#YYYY-MM,             Q1,              Q2,              Q3,              Q4
1900-01,         1.23000,         1.78000,         1.60000,         1.02000
1900-02,         0.98000,         0.98000,         1.03000,         1.05000
1900-03,         1.04000,         1.00000,         0.98000,         0.96000
1900-04,         1.56000,         1.83000,         1.49000,         0.98000
1900-05,         0.97000,         0.99000,         1.03000,         1.04000
1900-06,         1.03000,         1.00000,         0.98000,         0.99000
1900-07,         1.68000,         1.74000,         1.33000,         0.98000
1900-08,         0.98000,         1.00000,         1.04000,         1.05000
1900-09,         1.03000,         0.99000,         0.97000,         1.02000
1900-10,         1.67000,         1.66000,         1.13000,         0.99000
1900-11,         0.99000,         1.02000,         1.04000,         1.04000
1900-12,         1.02000,         0.99000,         0.97000,         1.06000
1901-01,         1.23000,         1.78000,         1.60000,         1.02000
1901-02,         0.98000,         0.98000,         1.03000,         1.05000
1901-03,         1.04000,         1.00000,         0.98000,         0.96000
1901-04,         1.56000,         1.83000,         1.49000,         0.98000
1901-05,         0.97000,         0.99000,         1.03000,         1.04000
1901-06,         1.03000,         1.00000,         0.98000,         0.99000
1901-07,         1.68000,         1.74000,         1.33000,         0.98000
1901-08,         0.98000,         1.00000,         1.04000,         1.05000
1901-09,         1.03000,         0.99000,         0.97000,         1.02000
1901-10,         1.67000,         1.66000,         1.13000,         0.99000
1901-11,         0.99000,         1.02000,         1.04000,         1.04000
1901-12,         1.02000,         0.99000,         0.97000,         1.06000
1902-01,         1.23000,         1.78000,         1.60000,         1.02000
1902-02,         0.98000,         0.98000,         1.03000,         1.05000
1902-03,         1.04000,         1.00000,         0.98000,         0.96000
1902-04,         1.56000,         1.83000,         1.49000,         0.98000
1902-05,         0.97000,         0.99000,         1.03000,         1.04000
1902-06,         1.03000,         1.00000,         0.98000,         0.99000
1902-07,         1.68000,         1.74000,         1.33000,         0.98000
1902-08,         0.98000,         1.00000,         1.04000,         1.05000
1902-09,         1.03000,         0.99000,         0.97000,         1.02000
1902-10,         1.67000,         1.66000,         1.13000,         0.99000
1902-11,         0.99000,         1.02000,         1.04000,         1.04000
1902-12,         1.02000,         0.99000,         0.97000,         1.06000
1903-01,         1.23000,         1.78000,         1.60000,         1.02000
1903-02,         0.98000,         0.98000,         1.03000,         1.05000
1903-03,         1.04000,         1.00000,         0.98000,         0.96000
1903-04,         1.56000,         1.83000,         1.49000,         0.98000
1903-05,         0.97000,         0.99000,         1.03000,         1.04000
1903-06,         1.03000,         1.00000,         0.98000,         0.99000
1903-07,         1.68000,         1.74000,         1.33000,         0.98000
1903-08,         0.98000,         1.00000,         1.04000,         1.05000
1903-09,         1.03000,         0.99000,         0.97000,         1.02000
1903-10,         1.67000,         1.66000,         1.13000,         0.99000
1903-11,         0.99000,         1.02000,         1.04000,         1.04000
1903-12,         1.02000,         0.99000,         0.97000,         1.06000
1904-01,         1.23000,         1.78000,         1.60000,         1.02000
1904-02,         0.98000,         0.98000,         1.03000,         1.05000
1904-03,         1.04000,         1.00000,         0.98000,         0.96000
1904-04,         1.56000,         1.83000,         1.49000,         0.98000
1904-05,         0.97000,         0.99000,         1.03000,         1.04000
1904-06,         1.03000,         1.00000,         0.98000,         0.99000
1904-07,         1.68000,         1.74000,         1.33000,         0.98000
1904-08,         0.98000,         1.00000,         1.04000,         1.05000
1904-09,         1.03000,         0.99000,         0.97000,         1.02000
1904-10,         1.67000,         1.66000,         1.13000,         0.99000
