KIND:prc
UNITS:mm
INTERVAL:qm
LOCATION:er
# file created: 2018-05-16 21:38:17
#YYYY-MM,      Q1,         Q2,       Q3,        Q4
1900-01,      1.23,      1.56,      1.68,      1.67
1900-02,      1.78,      1.83,      1.74,      1.66
1900-03,      1.60,      1.49,      1.33,      1.13
1900-04,      1.02,      0.98,      0.98,      0.99
1900-05,      0.98,      0.97,      0.98,      0.99
1900-06,      0.98,      0.99,      1.00,      1.02
1900-07,      1.03,      1.03,      1.04,      1.04
1900-08,      1.05,      1.04,      1.05,      1.04
1900-09,      1.04,      1.03,      1.03,      1.02
1900-10,      1.00,      1.00,      0.99,      0.99
1900-11,      0.98,      0.98,      0.97,      0.97
1900-12,      0.96,      0.99,      1.02,      1.06
1901-01,      1.23,      1.56,      1.68,      1.67
1901-02,      1.78,      1.83,      1.74,      1.66
1901-03,      1.60,      1.49,      1.33,      1.13
1901-04,      1.02,      0.98,      0.98,      0.99
1901-05,      0.98,      0.97,      0.98,      0.99
1901-06,      0.98,      0.99,      1.00,      1.02
1901-07,      1.03,      1.03,      1.04,      1.04
1901-08,      1.05,      1.04,      1.05,      1.04
1901-09,      1.04,      1.03,      1.03,      1.02
1901-10,      1.00,      1.00,      0.99,      0.99
1901-11,      0.98,      0.98,      0.97,      0.97
1901-12,      0.96,      0.99,      1.02,      1.06
1902-01,      1.23,      1.56,      1.68,      1.67
1902-02,      1.78,      1.83,      1.74,      1.66
1902-03,      1.60,      1.49,      1.33,      1.13
1902-04,      1.02,      0.98,      0.98,      0.99
1902-05,      0.98,      0.97,      0.98,      0.99
1902-06,      0.98,      0.99,      1.00,      1.02
1902-07,      1.03,      1.03,      1.04,      1.04
1902-08,      1.05,      1.04,      1.05,      1.04
1902-09,      1.04,      1.03,      1.03,      1.02
1902-10,      1.00,      1.00,      0.99,      0.99
1902-11,      0.98,      0.98,      0.97,      0.97
1902-12,      0.96,      0.99,      1.02,      1.06
1903-01,      1.23,      1.56,      1.68,      1.67
1903-02,      1.78,      1.83,      1.74,      1.66
1903-03,      1.60,      1.49,      1.33,      1.13
1903-04,      1.02,      0.98,      0.98,      0.99
1903-05,      0.98,      0.97,      0.98,      0.99
1903-06,      0.98,      0.99,      1.00,      1.02
1903-07,      1.03,      1.03,      1.04,      1.04
1903-08,      1.05,      1.04,      1.05,      1.04
1903-09,      1.04,      1.03,      1.03,      1.02
1903-10,      1.00,      1.00,      0.99,      0.99
1903-11,      0.98,      0.98,      0.97,      0.97
1903-12,      0.96,      0.99,      1.02,      1.06
1904-01,      1.23,      1.56,      1.68,      1.67
1904-02,      1.78,      1.83,      1.74,      1.66
1904-03,      1.60,      1.49,      1.33,      1.13
1904-04,      1.02,      0.98,      0.98,      0.99
1904-05,      0.98,      0.97,      0.98,      0.99
1904-06,      0.98,      0.99,      1.00,      1.02
1904-07,      1.03,      1.03,      1.04,      1.04
1904-08,      1.05,      1.04,      1.05,      1.04
1904-09,      1.04,      1.03,      1.03,      1.02
1904-10,      1.00,      1.00,      0.99,      0.99
1904-11,      0.98,      0.98,      0.97,      0.97
1904-12,      0.96,      0.99,      1.02,      1.06
1905-01,      1.23,      1.56,      1.68,      1.67
1905-02,      1.78,      1.83,      1.74,      1.66
1905-03,      1.60,      1.49,      1.33,      1.13
1905-04,      1.02,      0.98,      0.98,      0.99
1905-05,      0.98,      0.97,      0.98,      0.99
1905-06,      0.98,      0.99,      1.00,      1.02
1905-07,      1.03,      1.03,      1.04,      1.04
1905-08,      1.05,      1.04,      1.05,      1.04
1905-09,      1.04,      1.03,      1.03,      1.02
1905-10,      1.00,      1.00,      0.99,      0.99
1905-11,      0.98,      0.98,      0.97,      0.97
1905-12,      0.96,      0.99,      1.02,      1.06
1906-01,      1.23,      1.56,      1.68,      1.67
1906-02,      1.78,      1.83,      1.74,      1.66
1906-03,      1.60,      1.49,      1.33,      1.13
1906-04,      1.02,      0.98,      0.98,      0.99
1906-05,      0.98,      0.97,      0.98,      0.99
1906-06,      0.98,      0.99,      1.00,      1.02
1906-07,      1.03,      1.03,      1.04,      1.04
1906-08,      1.05,      1.04,      1.05,      1.04
1906-09,      1.04,      1.03,      1.03,      1.02
1906-10,      1.00,      1.00,      0.99,      0.99
1906-11,      0.98,      0.98,      0.97,      0.97
1906-12,      0.96,      0.99,      1.02,      1.06
1907-01,      1.23,      1.56,      1.68,      1.67
1907-02,      1.78,      1.83,      1.74,      1.66
1907-03,      1.60,      1.49,      1.33,      1.13
1907-04,      1.02,      0.98,      0.98,      0.99
1907-05,      0.98,      0.97,      0.98,      0.99
1907-06,      0.98,      0.99,      1.00,      1.02
1907-07,      1.03,      1.03,      1.04,      1.04
1907-08,      1.05,      1.04,      1.05,      1.04
1907-09,      1.04,      1.03,      1.03,      1.02
1907-10,      1.00,      1.00,      0.99,      0.99
1907-11,      0.98,      0.98,      0.97,      0.97
1907-12,      0.96,      0.99,      1.02,      1.06
1908-01,      1.23,      1.56,      1.68,      1.67
1908-02,      1.78,      1.83,      1.74,      1.66
1908-03,      1.60,      1.49,      1.33,      1.13
1908-04,      1.02,      0.98,      0.98,      0.99
1908-05,      0.98,      0.97,      0.98,      0.99
1908-06,      0.98,      0.99,      1.00,      1.02
1908-07,      1.03,      1.03,      1.04,      1.04
1908-08,      1.05,      1.04,      1.05,      1.04
1908-09,      1.04,      1.03,      1.03,      1.02
1908-10,      1.00,      1.00,      0.99,      0.99
1908-11,      0.98,      0.98,      0.97,      0.97
1908-12,      0.96,      0.99,      1.02,      1.06
1909-01,      1.23,      1.56,      1.68,      1.67
1909-02,      1.78,      1.83,      1.74,      1.66
1909-03,      1.60,      1.49,      1.33,      1.13
1909-04,      1.02,      0.98,      0.98,      0.99
1909-05,      0.98,      0.97,      0.98,      0.99
1909-06,      0.98,      0.99,      1.00,      1.02
1909-07,      1.03,      1.03,      1.04,      1.04
1909-08,      1.05,      1.04,      1.05,      1.04
1909-09,      1.04,      1.03,      1.03,      1.02
1909-10,      1.00,      1.00,      0.99,      0.99
1909-11,      0.98,      0.98,      0.97,      0.97
1909-12,      0.96,      0.99,      1.02,      1.06
1910-01,      1.23,      1.56,      1.68,      1.67
1910-02,      1.78,      1.83,      1.74,      1.66
1910-03,      1.60,      1.49,      1.33,      1.13
